abn,company_name,entity_type,status,gst_status,state,postcode,lead_score,classification,positive_signals,negative_signals,source
49631396735,OPTIMAL TRAINING AND NUTRITION,Individual/Sole Trader,ACT,ACT,QLD,4032,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49634296870,BAY NUTRITION PTY LTD,Australian Private Company,ACT,ACT,NSW,2315,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49666632891,ONE POT SUPERFOOD PTY LTD,Australian Private Company,ACT,ACT,QLD,4313,45,Good potential,superfood (+45),,Australian ABN Bulk Extract
49667598049,COASTLINE NUTRITION PTY LTD,Australian Private Company,ACT,NON,QLD,4211,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49677435424,TO BE NUTRITION PTY LTD,Australian Private Company,ACT,NON,NSW,2019,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49680461125,FUTURE DAYS NUTRITION COACHING & BODY ANALYSIS PTY LTD,Australian Private Company,ACT,ACT,SA,5088,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49681152929,EK NUTRITION PTY LTD,Australian Private Company,ACT,ACT,NSW,2481,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49697444492,TRANSFORMER NUTRITION HUB PTY LTD,Australian Private Company,ACT,NON,NSW,2155,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49720724464,Nutrition Asia Group Australia,Individual/Sole Trader,ACT,NON,QLD,4560,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49742201085,Parenteral Nutrition Down Under Inc.,Other Incorporated Entity,ACT,NON,NSW,2031,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49770952985,NOURISHWISE NUTRITION,Individual/Sole Trader,ACT,NON,WA,6148,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49853452544,YOU Athlete Nutrition,Individual/Sole Trader,ACT,NON,NSW,2087,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49855411885,SEASIDE HEALTH FOODS,Individual/Sole Trader,ACT,NON,QLD,4558,40,Good potential,health food (+40),,Australian ABN Bulk Extract
49884400425,THRIVE NUTRITION & WELLNESS CO,Individual/Sole Trader,ACT,NON,WA,6025,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49909835035,YOU DO YOU NUTRITION,Individual/Sole Trader,ACT,NON,WA,6751,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49946862171,Nutrition Health Experts,Individual/Sole Trader,ACT,ACT,SA,5031,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50058713661,GROCERY SUPPLY PTY LTD,Australian Private Company,ACT,ACT,VIC,3910,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50086356158,"BLIND WHOLESALERS, DISTRIBUTORS & MANUFACTURERS PTY LTD",Australian Private Company,ACT,ACT,WA,6090,30,Possible,wholesale (+15); distributor (+15),,Australian ABN Bulk Extract
50108239096,MRSUPPLEMENT.COM.AU PTY LTD,Australian Private Company,ACT,ACT,NSW,2153,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50115723577,Pinnacle Athletics & Nutrition,Individual/Sole Trader,ACT,CAN,VIC,3030,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50138343599,LISA SHERMAN NUTRITION & COACHING,Individual/Sole Trader,ACT,NON,NSW,2036,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50144825268,Better Training and Nutrition,Individual/Sole Trader,ACT,ACT,WA,6110,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50149582712,AUSTRALIAN SPORTS NUTRITION CASUARINA PTY LTD,Australian Private Company,ACT,ACT,QLD,4226,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50154121034,Nutrition Superstore Pty ltd,Australian Private Company,ACT,ACT,VIC,3107,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50162707250,The trustee for The Quinlan Nutrition Trust,Discretionary Trading Trust,ACT,ACT,WA,6009,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50164614071,Nomii Nutrition,Individual/Sole Trader,ACT,CAN,VIC,3190,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50234794215,Equine Nutrition Consultants,Individual/Sole Trader,ACT,ACT,NSW,2539,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50356131718,NOURISH THE SOUL NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3036,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50356461156,Bytropic Nutrition,Individual/Sole Trader,ACT,ACT,NSW,2481,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50462886430,LION'S SHARE SUPPLEMENTS,Individual/Sole Trader,ACT,CAN,QLD,4215,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50498387650,TRAINING NUTRITION,Individual/Sole Trader,ACT,NON,QLD,4108,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50498796694,ULTIMATE STRENGTH AND NUTRITION,Individual/Sole Trader,ACT,CAN,VIC,3193,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50568221816,GEN II NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3806,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50572757341,SALT & LIGHT SUPERFOOD,Individual/Sole Trader,ACT,NON,NSW,2140,45,Good potential,superfood (+45),,Australian ABN Bulk Extract
50576347536,PHEED NUTRITION,Individual/Sole Trader,ACT,NON,WA,6027,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50603315519,WATAN MARKET AND GROCERY PTY LTD,Australian Private Company,ACT,ACT,WA,6065,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50615610358,WINNING NUTRITION,Individual/Sole Trader,ACT,NON,QLD,4005,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50624697570,IMPACT NUTRITION PTY LTD,Australian Private Company,ACT,CAN,SA,5051,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50626307828,TAING 2 BUTCHER AND ASIAN GROCERY PTY LTD,Australian Private Company,ACT,ACT,SA,5108,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50627422130,I on Nutrition,Individual/Sole Trader,ACT,NON,VIC,3810,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50634184268,WELL TECH NUTRITION PTY LTD,Australian Private Company,ACT,CAN,VIC,3049,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50637959112,The Trustee for VICTORIAN FOOD DISTRIBUTORS TRUST,Discretionary Trading Trust,ACT,CAN,VIC,3074,40,Good potential,food distributor (+40),,Australian ABN Bulk Extract
50639418947,EMMA SMYTH NUTRITION PTY LTD,Australian Private Company,ACT,NON,WA,6153,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50640057648,DAI TAN ASIAN GROCERY,Individual/Sole Trader,ACT,NON,VIC,3121,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50644568490,GROCERY CONNECTION PTY LTD,Australian Private Company,ACT,ACT,QLD,4565,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50645771777,INNER HEALTH FOODS PTY LTD,Australian Private Company,ACT,ACT,NSW,2155,40,Good potential,health food (+40),,Australian ABN Bulk Extract
50656284767,LIFESPAN SUPPLEMENTS PTY LTD,Australian Private Company,ACT,ACT,QLD,4521,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50660321273,LIDCOMBE HEALTH FOOD SUPPLIER PTY LTD,Australian Private Company,ACT,CAN,NSW,2141,40,Good potential,health food (+40),,Australian ABN Bulk Extract
50664393677,ELITE SUPPLEMENTS BIRKENHEAD PTY LTD,Australian Private Company,ACT,ACT,NSW,2047,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50670770359,M.E S.O PERFORMANCE NUTRITION PTY LTD,Australian Private Company,ACT,NON,NSW,2557,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50680691623,AUSTRALIA NULLARBOR CAMEL NUTRITION PTY LTD,Australian Private Company,ACT,NON,NSW,2065,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50681348149,MORE THAN NUTRITIONALS PTY LTD,Australian Private Company,ACT,ACT,NSW,2483,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50681524729,PLAYGROUND SUPPLEMENTS PTY LTD,Australian Private Company,ACT,NON,VIC,3181,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50682153662,TAKE ME SUPPLEMENTS PTY LTD,Australian Private Company,ACT,CAN,VIC,3185,25,Possible,supplement (+25),,Australian ABN Bulk Extract
50684919024,MAHALAXMI GROCERY STORE PTY LTD,Australian Private Company,ACT,ACT,QLD,4506,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50688239214,INSIDE-OUT NUTRITION & MASSAGE PTY LTD,Australian Private Company,ACT,ACT,SA,5118,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50690868538,SPIRIT NUTRITION PTY LTD,Australian Private Company,ACT,NON,QLD,4114,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50696624398,OLIVE TREE NUTRITION AND MEDITATION PTY LTD,Australian Private Company,ACT,ACT,QLD,4552,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50700213314,DUBAI GROCERY PTY LTD,Australian Private Company,ACT,ACT,NSW,2160,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
50700947271,THE WHOLESALE GROCERY PTY LTD,Australian Private Company,ACT,ACT,WA,6016,55,Good potential,grocery (+20); grocer (+20); wholesale (+15),,Australian ABN Bulk Extract
50704643706,Uniquely You Nutrition,Individual/Sole Trader,ACT,NON,QLD,4012,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50722032197,HOOKED ON NUTRITION,Individual/Sole Trader,ACT,NON,NSW,2155,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
50753129944,Iceberg Serious Nutrition,Individual/Sole Trader,ACT,ACT,NSW,2480,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
